	AD7	AG1	AG2	AG3	AG4	AG6	AG5	AD9	AG7	Emag1	Emag3	Prin1	Prin2	Prin3	Prin4	Eusp1	Eusp2	Eusp3	Eusp4	Emag4	Emag5	Emag6	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Halice1	Halice2	Halice3	Halice4	Halice5	Hgigas1	Hgigas3	Hgigas4	Hgigas5	Hgigas6	Hgigas7	Hgigas8	Hgigas9	Hya6	SYA	SYB	SYC	AD10	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9
Hya3	0.78853932	0.759030237	0.930835388	0.803588534	0.780469442	0.807747802	0.827410216	0.801296806	0.864168659	0.82139128	0.838561668	0.855608445	0.823246877	0.833007094	0.839807051	0.775293798	0.76602332	0.757628758	0.787571014	0.810599707	0.837521745	0.800884748	0.550863082	0.44487614	0	0.509882233	0.501617224	0.510947708	0.726225985	0.771996623	0.714517	0.838960439	0.808335329	0.841880878	0.829376388	0.839477109	0.836881208	0.848137733	0.845454069	0.848376505	0.88013239	0.876743793	0.940589009	0.88275279	0.662260116	0.81441916	0.784521325	0.792043192	0.723517437	0.869317405	0.8730879	0.866333705	0.866441526	0.846041981	0.798071691	0.846556683	0.787076452	0.862670445	0.844606646	0.864659289	0.854098541	0.660423009	0.653931671	0.823131526	0.846360261	0.824831272	0.832362333	0.831230508	0.82443468	0.811430054	0.834155558	0.856790603	0.827242681
Hya4	0.821309929	0.817694218	0.94697977	0.83718685	0.835447899	0.869840611	0.888470862	0.846259106	0.899595803	0.852729845	0.86880399	0.885470747	0.870435865	0.869991617	0.87107935	0.803484959	0.822157535	0.80822942	0.798016504	0.838574371	0.864081379	0.853414244	0.404360729	0.519252269	0.509882233	0	0.46027169	0.39434487	0.739570974	0.781233198	0.745224271	0.877760459	0.861673865	0.880079417	0.869456409	0.875730762	0.879867588	0.887105616	0.886889041	0.887635589	0.919607282	0.907294688	0.952121569	0.913218062	0.637251095	0.841702588	0.803337965	0.804823646	0.763787743	0.860779327	0.880387169	0.853157886	0.872263731	0.849054685	0.823375808	0.849558164	0.803380328	0.863567163	0.829226486	0.883117826	0.856994453	0.683801957	0.685477367	0.848126455	0.847962115	0.85239756	0.859926602	0.850797702	0.866710424	0.832487995	0.863500636	0.859238193	0.867830153
Hya7	0.776685917	0.776111084	0.931602005	0.795082786	0.792424521	0.825483332	0.874637964	0.805187104	0.865180234	0.799736458	0.833637778	0.854675783	0.840880842	0.839403841	0.838652239	0.784508755	0.773899508	0.773033121	0.772424684	0.825897491	0.864187274	0.842885659	0.437344379	0.328778212	0.501617224	0.46027169	0	0.448583557	0.710921011	0.753680784	0.729345222	0.85288406	0.835053888	0.859275812	0.842468365	0.845433538	0.860552841	0.862430718	0.863888708	0.862877166	0.899076778	0.887403425	0.945975088	0.891836369	0.570444445	0.838520368	0.773854081	0.808272393	0.752092997	0.862212953	0.861337494	0.839857998	0.853044991	0.845313196	0.829390932	0.856617377	0.808355857	0.865162926	0.837243412	0.861640249	0.835429083	0.641137939	0.660031601	0.80638748	0.819154648	0.836410214	0.837968867	0.817898099	0.830738205	0.80249605	0.847211074	0.836183637	0.848339696
Hya5	0.845584106	0.839779639	0.95320488	0.853856571	0.853486603	0.875064278	0.894006492	0.847021305	0.908194675	0.854476517	0.868699723	0.911280383	0.887086144	0.894280673	0.887755376	0.816283111	0.829405799	0.830648607	0.812807048	0.854120089	0.873388155	0.85574036	0.308609937	0.434769726	0.510947708	0.39434487	0.448583557	0	0.742224558	0.77289223	0.75642756	0.890036782	0.882250397	0.902794141	0.884497767	0.902200856	0.899220318	0.906577056	0.90149514	0.911869996	0.934197657	0.922479492	0.954552373	0.93238558	0.617917211	0.847106789	0.789697866	0.82311319	0.787218427	0.860189606	0.888195347	0.860716666	0.877497795	0.861055655	0.832750739	0.86818077	0.810547349	0.868617901	0.831160421	0.879300746	0.864719167	0.639982378	0.66457906	0.848470172	0.853178957	0.861451238	0.872940349	0.849255994	0.867731034	0.824446602	0.865462053	0.85829151	0.872490399
Ischy1	0.794139579	0.793522207	0.940167661	0.81122631	0.805582068	0.833246914	0.8731265	0.809506234	0.875629554	0.837111034	0.839271984	0.880182576	0.845581631	0.858479318	0.853763532	0.798933433	0.782028548	0.788000532	0.786095637	0.823291881	0.86106018	0.845449817	0.738310252	0.714646497	0.726225985	0.739570974	0.710921011	0.742224558	0	0.267095415	0.316299182	0.857887406	0.845318131	0.867256562	0.852545408	0.861387762	0.85766712	0.86629626	0.861208209	0.862088012	0.902099901	0.888903421	0.942589847	0.899350657	0.751934848	0.841824964	0.787546846	0.817462113	0.764062443	0.857929405	0.856452229	0.832822924	0.841839539	0.844862405	0.835348396	0.85330449	0.830545669	0.858147397	0.846027682	0.870883782	0.827681684	0.748169016	0.776971521	0.809360641	0.820673906	0.824732995	0.82829797	0.826717989	0.824784443	0.792841958	0.834500434	0.829090346	0.853793726
Ischy2	0.828953849	0.830056277	0.927485297	0.845923086	0.850266508	0.822719568	0.856955677	0.845664582	0.857432776	0.838025463	0.856410504	0.921366164	0.885745443	0.892177308	0.895596348	0.832161645	0.831891147	0.816654344	0.795836684	0.828174669	0.839024573	0.823586707	0.776650386	0.755475795	0.771996623	0.781233198	0.753680784	0.77289223	0.267095415	0	0.331089993	0.895959429	0.885873765	0.898077202	0.892221238	0.90458268	0.894227689	0.895884976	0.877307983	0.891375902	0.938509822	0.899177512	0.934190197	0.911727536	0.790929659	0.85194004	0.79949019	0.832989742	0.793345086	0.884323634	0.889488062	0.865974234	0.865211636	0.876055965	0.867410581	0.878622134	0.849276298	0.881857316	0.874622828	0.866755477	0.864729553	0.81488862	0.821529691	0.837226405	0.852147056	0.857177546	0.877329045	0.855238237	0.835190473	0.818418051	0.861475486	0.865238873	0.875716595
Ischy3	0.7935115	0.803774941	0.931149149	0.81581811	0.821295871	0.818324611	0.836024438	0.829522327	0.864870325	0.830421382	0.84088391	0.896285845	0.864490964	0.874549149	0.864712422	0.811151597	0.799399693	0.786349907	0.78508658	0.791179084	0.833496799	0.813152518	0.757542208	0.721888916	0.714517	0.745224271	0.729345222	0.75642756	0.316299182	0.331089993	0	0.877348079	0.862345593	0.88784607	0.870351883	0.879451125	0.87784881	0.887558473	0.869888062	0.883123236	0.928809646	0.901436946	0.937560579	0.913479241	0.770133317	0.827127464	0.775204586	0.810134771	0.75366163	0.877967052	0.882380057	0.8567137	0.864976231	0.871470446	0.851315368	0.87187104	0.837047477	0.876142359	0.864800972	0.867196986	0.852796006	0.799043353	0.801841254	0.811345795	0.827691893	0.837597273	0.858999834	0.829896661	0.818744901	0.788778616	0.836982662	0.843640193	0.859295731
Halice1	0.817092501	0.604665628	0.809992363	0.731279719	0.625975627	0.758275002	0.764318836	0.740060157	0.700624643	0.805626632	0.782394614	0.687157777	0.636330841	0.674452878	0.761298731	0.860852538	0.841795064	0.84131614	0.82187486	0.761052102	0.799321048	0.767307006	0.888981101	0.857978796	0.838960439	0.877760459	0.85288406	0.890036782	0.857887406	0.895959429	0.877348079	0	0.483900949	0.351897325	0.32685419	0.400077767	0.500039168	0.49969659	0.618369943	0.499951105	0.62505183	0.576688399	0.786251158	0.684162957	0.85081898	0.799655982	0.839184356	0.814009038	0.825426973	0.915449347	0.883084689	0.899450341	0.886614138	0.855927802	0.81845138	0.904691078	0.850115793	0.908485661	0.914021906	0.889995375	0.87483114	0.827503477	0.840061549	0.786528197	0.854612456	0.804343034	0.771065195	0.85542774	0.837402259	0.87304672	0.83395014	0.856665688	0.752623801
Halice2	0.804166716	0.62397077	0.84286712	0.703485907	0.622140262	0.722047012	0.801648943	0.72613431	0.726610827	0.791346422	0.779436793	0.667020556	0.528221907	0.670749488	0.69618574	0.839919324	0.834797784	0.809789184	0.821214859	0.750574948	0.808904439	0.77814467	0.872268197	0.853427495	0.808335329	0.861673865	0.835053888	0.882250397	0.845318131	0.885873765	0.862345593	0.483900949	0	0.428635673	0.218828154	0.434516084	0.600645158	0.575741297	0.69065282	0.576726136	0.709544742	0.620003072	0.839908671	0.722013987	0.849783894	0.821273316	0.842326636	0.817991241	0.792750951	0.905132593	0.857848974	0.882532634	0.862538973	0.833055668	0.79816159	0.875844847	0.834853953	0.884451584	0.889607363	0.86353422	0.842044198	0.78979062	0.802351995	0.789004315	0.855965582	0.803592852	0.721293484	0.842100707	0.811890817	0.874680407	0.824224902	0.863363728	0.751065622
Halice3	0.838732706	0.600888614	0.737977335	0.742155956	0.618838992	0.748817339	0.780874374	0.773886601	0.678161862	0.803240418	0.783308246	0.731992441	0.640692828	0.72982989	0.779675478	0.855150367	0.849407766	0.83598349	0.836391259	0.685818234	0.738837144	0.749831714	0.90066153	0.873235422	0.841880878	0.880079417	0.859275812	0.902794141	0.867256562	0.898077202	0.88784607	0.351897325	0.428635673	0	0.435258626	0.226236779	0.378917489	0.335723193	0.525910329	0.317788771	0.51774468	0.479694387	0.723025686	0.568592296	0.874573828	0.801336634	0.867423207	0.810482958	0.839395223	0.928811912	0.896292085	0.910405143	0.892000003	0.85896842	0.818578194	0.913593065	0.849485272	0.917872159	0.915439674	0.893518321	0.886702839	0.835120146	0.855180446	0.818696324	0.876151064	0.835194686	0.778687448	0.880939117	0.853608644	0.897711704	0.863726358	0.885413718	0.775912528
Halice4	0.797028262	0.632046207	0.856471181	0.71511254	0.642158563	0.766121342	0.800972921	0.72683388	0.732640098	0.801802161	0.788804957	0.651652301	0.608996671	0.66894146	0.730231467	0.849875189	0.842540606	0.83226333	0.830568674	0.756275065	0.802137111	0.794068935	0.883906929	0.854476249	0.829376388	0.869456409	0.842468365	0.884497767	0.852545408	0.892221238	0.870351883	0.32685419	0.218828154	0.435258626	0	0.433841845	0.583410261	0.580755181	0.6777922	0.579203753	0.696178414	0.642512202	0.832439735	0.732205487	0.85199033	0.819180781	0.841085943	0.815937456	0.798584952	0.905925489	0.871789532	0.891098756	0.880904444	0.851874971	0.816347011	0.896481078	0.843664238	0.894734361	0.904294147	0.880553488	0.863816854	0.810997383	0.823838478	0.79642173	0.849715546	0.804689804	0.729736438	0.841533056	0.823148649	0.874590768	0.814272015	0.857161977	0.760467628
Halice5	0.818160792	0.561381951	0.722915578	0.703330873	0.578406395	0.742978511	0.795952361	0.74434274	0.674215546	0.800005628	0.780980023	0.673468425	0.613541011	0.697620903	0.742490033	0.854550997	0.850538619	0.835400257	0.833856055	0.693323272	0.763137961	0.772213847	0.901290121	0.871407388	0.839477109	0.875730762	0.845433538	0.902200856	0.861387762	0.90458268	0.879451125	0.400077767	0.434516084	0.226236779	0.433841845	0	0.402289392	0.371755768	0.565583081	0.360594484	0.56219985	0.52560081	0.750809731	0.616131294	0.867807886	0.798849442	0.848263241	0.78727437	0.818853902	0.921868361	0.884596905	0.901226172	0.891191113	0.858598114	0.820240197	0.905521678	0.850200602	0.909479566	0.914592663	0.894009514	0.872897612	0.813817491	0.838921858	0.808197261	0.868046305	0.820609478	0.745185965	0.866584494	0.845325525	0.890818715	0.855336302	0.87983826	0.753444719
Hgigas1	0.840120588	0.589242563	0.762783417	0.755251126	0.662227621	0.741818086	0.713553375	0.75754195	0.709886215	0.779279732	0.800830604	0.746296837	0.653065585	0.756187927	0.795114693	0.852488816	0.850286284	0.823980073	0.818214149	0.692667831	0.713004047	0.729585036	0.898526685	0.861965508	0.836881208	0.879867588	0.860552841	0.899220318	0.85766712	0.894227689	0.87784881	0.500039168	0.600645158	0.378917489	0.583410261	0.402289392	0	0.263362091	0.260433327	0.243572142	0.448494052	0.462338736	0.680869935	0.585791875	0.879708659	0.75872033	0.840280529	0.771164363	0.823854437	0.92987301	0.893925697	0.908958661	0.887946031	0.87697909	0.809925775	0.914916681	0.836533271	0.919004069	0.916032769	0.906379377	0.883962772	0.822839393	0.845084916	0.846824587	0.898315196	0.857632756	0.799991752	0.893454285	0.882167257	0.901504716	0.885058937	0.899671582	0.799618588
Hgigas3	0.837477578	0.601167565	0.716636729	0.738539267	0.636628755	0.75632707	0.767855183	0.77092026	0.679856719	0.795548008	0.784536189	0.724513357	0.614330475	0.737592828	0.781898591	0.859074732	0.858595219	0.83529744	0.828188719	0.690594557	0.720082719	0.720340089	0.905274871	0.871970825	0.848137733	0.887105616	0.862430718	0.906577056	0.86629626	0.895884976	0.887558473	0.49969659	0.575741297	0.335723193	0.580755181	0.371755768	0.263362091	0	0.435268809	0.102581849	0.46305109	0.351721533	0.689584932	0.499068106	0.880744796	0.790968903	0.85908271	0.789044709	0.83382385	0.931875874	0.900263687	0.913870198	0.891541761	0.864947406	0.820852091	0.91598382	0.853462178	0.917908403	0.919569482	0.899161362	0.887725392	0.833486101	0.854571858	0.832004933	0.886121249	0.84607086	0.783624604	0.884731837	0.868306938	0.903561503	0.873173306	0.887917504	0.770792591
Hgigas4	0.853074958	0.618801585	0.743147272	0.778507867	0.692239346	0.685854955	0.60560873	0.800098252	0.63214541	0.74137696	0.78658451	0.766463825	0.687643789	0.778388583	0.818498263	0.845365676	0.855297407	0.814338324	0.794972681	0.720639612	0.612559443	0.637577261	0.900600663	0.871808293	0.845454069	0.886889041	0.863888708	0.90149514	0.861208209	0.877307983	0.869888062	0.618369943	0.69065282	0.525910329	0.6777922	0.565583081	0.260433327	0.435268809	0	0.420125695	0.567406652	0.422490999	0.649802842	0.478679282	0.88341221	0.722365862	0.81797821	0.777378457	0.839355027	0.92865685	0.891294397	0.907062967	0.884622981	0.872143698	0.792979812	0.914013357	0.82940549	0.918179168	0.914364713	0.889751492	0.880445435	0.843189798	0.858235022	0.838608749	0.905672437	0.867568978	0.828301529	0.900499277	0.87541024	0.908825824	0.895965685	0.906544187	0.778652665
Hgigas5	0.835627695	0.584168445	0.708372305	0.731001742	0.619101464	0.733152882	0.763093823	0.764217374	0.645287618	0.792872501	0.767252715	0.725022942	0.627264134	0.72282584	0.771510368	0.858145015	0.858996576	0.833669748	0.826555066	0.691604498	0.73931581	0.728417364	0.910129446	0.872712053	0.848376505	0.887635589	0.862877166	0.911869996	0.862088012	0.891375902	0.883123236	0.499951105	0.576726136	0.317788771	0.579203753	0.360594484	0.243572142	0.102581849	0.420125695	0	0.446222797	0.418654484	0.679508705	0.527494879	0.885174411	0.797783107	0.864452166	0.795321535	0.830901834	0.930126103	0.897052902	0.911410014	0.888354746	0.860215017	0.822576988	0.912912531	0.848032916	0.916630702	0.918282537	0.894881762	0.884386201	0.833769614	0.853724754	0.823967252	0.881451588	0.8412937	0.783660987	0.876620344	0.860802605	0.899084233	0.866800406	0.883314464	0.765163698
Hgigas6	0.890212097	0.698182199	0.650797134	0.819763879	0.685929226	0.835619502	0.815754569	0.835700483	0.769871408	0.864077287	0.840229942	0.750537244	0.727685875	0.801286155	0.853888619	0.904043894	0.902329124	0.887120301	0.894708454	0.788693566	0.805839316	0.818547815	0.93046227	0.909018807	0.88013239	0.919607282	0.899076778	0.934197657	0.902099901	0.938509822	0.928809646	0.62505183	0.709544742	0.51774468	0.696178414	0.56219985	0.448494052	0.46305109	0.567406652	0.446222797	0	0.589581843	0.476287737	0.497162561	0.917659684	0.854020965	0.911445874	0.854936133	0.887659301	0.953743913	0.932881187	0.939771126	0.926549055	0.90631337	0.866970482	0.942597089	0.892991292	0.944649181	0.944788559	0.935400032	0.924295681	0.894765461	0.906870373	0.873892305	0.923191734	0.898040188	0.863020508	0.916864674	0.909282021	0.933028634	0.905179899	0.924162084	0.832919348
Hgigas7	0.86795218	0.688401295	0.742205048	0.782693098	0.705373318	0.754413729	0.746888508	0.817298183	0.674041376	0.783528255	0.786471459	0.753795481	0.653669739	0.756688554	0.798045761	0.860855108	0.874383998	0.820646299	0.825021064	0.742085652	0.680042837	0.727340826	0.917618993	0.896291446	0.876743793	0.907294688	0.887403425	0.922479492	0.888903421	0.899177512	0.901436946	0.576688399	0.620003072	0.479694387	0.642512202	0.52560081	0.462338736	0.351721533	0.422490999	0.418654484	0.589581843	0	0.669348973	0.457919137	0.903053616	0.796988091	0.862527999	0.839740771	0.864189393	0.936031788	0.901411883	0.917329755	0.888794832	0.867402074	0.831353376	0.913482308	0.86328991	0.921626936	0.91852759	0.89669078	0.883344106	0.861865883	0.880735954	0.839634405	0.903341993	0.868043835	0.814232674	0.900620243	0.874431238	0.918692536	0.887204116	0.906729603	0.783543599
Hgigas8	0.941017559	0.854178676	0.49263097	0.893648989	0.844661379	0.836536302	0.782726268	0.897129996	0.756651829	0.883474722	0.886910465	0.874131107	0.862574858	0.907238174	0.935188095	0.941177762	0.938800356	0.923490952	0.910285318	0.838534037	0.75577368	0.7755029	0.958976945	0.941875409	0.940589009	0.952121569	0.945975088	0.954552373	0.942589847	0.934190197	0.937560579	0.786251158	0.839908671	0.723025686	0.832439735	0.750809731	0.680869935	0.689584932	0.649802842	0.679508705	0.476287737	0.669348973	0	0.580726358	0.95259423	0.889376213	0.933914577	0.917321007	0.933272593	0.970658532	0.962061935	0.963073642	0.954425014	0.944722657	0.915511077	0.965156983	0.92103654	0.966576034	0.966023645	0.944919529	0.952581245	0.942004994	0.949571021	0.918703691	0.959431479	0.951787484	0.939087433	0.951932441	0.942175198	0.964740545	0.951818576	0.95125169	0.890184978
Hgigas9	0.873390978	0.701417715	0.63095351	0.794177756	0.676639594	0.772595276	0.78379207	0.836752218	0.688110453	0.789267888	0.806987626	0.754149942	0.736409121	0.818552509	0.840112713	0.865511886	0.885063696	0.853248579	0.844622096	0.762711456	0.742143554	0.741293712	0.930369218	0.909526487	0.88275279	0.913218062	0.891836369	0.93238558	0.899350657	0.911727536	0.913479241	0.684162957	0.722013987	0.568592296	0.732205487	0.616131294	0.585791875	0.499068106	0.478679282	0.527494879	0.497162561	0.457919137	0.580726358	0	0.913062363	0.837865028	0.8975392	0.877669622	0.864954058	0.939281539	0.909113414	0.920422041	0.904018625	0.884653274	0.82191829	0.925254674	0.86206184	0.926933343	0.926503031	0.899655023	0.901290934	0.88011681	0.887403411	0.845043935	0.912375414	0.880940958	0.844286839	0.915389007	0.879678624	0.926325718	0.900515842	0.912973331	0.79812041
Hya6	0.809492651	0.789165174	0.919271651	0.82705087	0.827043839	0.809133647	0.850696651	0.766639291	0.853945133	0.815101341	0.83132513	0.862095027	0.847293229	0.834956959	0.823354565	0.777260907	0.766706889	0.754913795	0.751775851	0.842600381	0.870556233	0.842893395	0.624959581	0.632394888	0.662260116	0.637251095	0.570444445	0.617917211	0.751934848	0.790929659	0.770133317	0.85081898	0.849783894	0.874573828	0.85199033	0.867807886	0.879708659	0.880744796	0.88341221	0.885174411	0.917659684	0.903053616	0.95259423	0.913062363	0	0.77525907	0.751275365	0.747348277	0.789123565	0.844049239	0.847113497	0.825624332	0.833665909	0.814599324	0.808355385	0.848450011	0.796026684	0.843091492	0.823728384	0.833076748	0.839136825	0.670004136	0.64533181	0.758104927	0.798979792	0.809477893	0.819631474	0.780546265	0.800901087	0.769132756	0.809081098	0.791673291	0.832843048
SYA	0.849174596	0.724123076	0.859009592	0.770153554	0.771257927	0.792832747	0.762862787	0.810458459	0.79173582	0.809026709	0.816533509	0.855408789	0.810296624	0.813224181	0.855854345	0.854138868	0.86507734	0.831597446	0.810884726	0.782009309	0.74921074	0.751153589	0.848546879	0.832684049	0.81441916	0.841702588	0.838520368	0.847106789	0.841824964	0.85194004	0.827127464	0.799655982	0.821273316	0.801336634	0.819180781	0.798849442	0.75872033	0.790968903	0.722365862	0.797783107	0.854020965	0.796988091	0.889376213	0.837865028	0.77525907	0	0.447642671	0.359277447	0.818744252	0.919850449	0.869216274	0.892137454	0.880773586	0.86458396	0.810911188	0.900666276	0.828355372	0.901151185	0.898554357	0.903388178	0.867934411	0.84112209	0.8494372	0.838997799	0.89194143	0.869442404	0.833076964	0.887255929	0.846930354	0.870702237	0.871475772	0.890774206	0.830258351
SYB	0.823758752	0.750594681	0.908765673	0.77147852	0.784292732	0.777255247	0.826006019	0.809020161	0.811542326	0.808867997	0.803554428	0.879468612	0.83431098	0.81746632	0.850562885	0.818732507	0.839414818	0.803243805	0.786274371	0.814088641	0.820139755	0.775428498	0.798453265	0.781987503	0.784521325	0.803337965	0.773854081	0.789697866	0.787546846	0.79949019	0.775204586	0.839184356	0.842326636	0.867423207	0.841085943	0.848263241	0.840280529	0.85908271	0.81797821	0.864452166	0.911445874	0.862527999	0.933914577	0.8975392	0.751275365	0.447642671	0	0.416391739	0.79113583	0.899416981	0.85943732	0.857911761	0.852885926	0.843034917	0.81064904	0.883197819	0.816359225	0.882881689	0.872405381	0.882763481	0.844477111	0.788134115	0.805626298	0.815587123	0.854358005	0.838444786	0.814701052	0.853225847	0.80676707	0.836696136	0.849906996	0.870698605	0.826372587
SYC	0.827953836	0.725905844	0.886402566	0.762077066	0.760388823	0.805444566	0.824883106	0.800159141	0.821275306	0.825478441	0.827570581	0.852940417	0.819491506	0.814785663	0.849462237	0.846183618	0.84809903	0.806510579	0.806335366	0.778691857	0.783239839	0.78386332	0.827781597	0.803176065	0.792043192	0.804823646	0.808272393	0.82311319	0.817462113	0.832989742	0.810134771	0.814009038	0.817991241	0.810482958	0.815937456	0.78727437	0.771164363	0.789044709	0.777378457	0.795321535	0.854936133	0.839740771	0.917321007	0.877669622	0.747348277	0.359277447	0.416391739	0	0.793799735	0.912569646	0.873979993	0.884005922	0.870205329	0.86752762	0.819884753	0.900124721	0.830174575	0.899496899	0.895497496	0.902494031	0.865698308	0.812687713	0.81905223	0.838053289	0.870138593	0.854760745	0.804412779	0.866473029	0.829124359	0.855915567	0.860847593	0.878613204	0.834837402
